title,path,url,topics,excerpt,Created
Matrix Algebra and Applications in R,R/matrices,https://www.harshaash.com/R/matrices,Statistics basics,Master matrix operations in R for linear algebra applications in statistics and machine learning.,2022-01-16 16:42:42 +0530
Understanding Variance with ANOVA in R,R/anova,https://www.harshaash.com/R/anova,Hypothesis Testing|Real World Data,Discover how Analysis of Variance (ANOVA) helps compare means across multiple groups simultaneously.,2022-01-02 20:56:45 +0530
Chi-Square Goodness of Fit Testing,R/chi-sq-goodness-of-fit,https://www.harshaash.com/R/chi-sq-goodness-of-fit,Hypothesis Testing|Real World Data,Master the chi-square goodness of fit test to determine whether observed data matches an expected theoretical distribution.,2022-01-02 20:56:45 +0530
Testing Independence with Chi-Square in R,R/chi-sq-test-of-independence,https://www.harshaash.com/R/chi-sq-test-of-independence,Hypothesis Testing,Learn how to test for relationships between categorical variables using the chi-square test of independence.,2022-01-02 20:56:45 +0530
Navigating the Curse of Dimensionality,R/Curse-of-Dimensionality,https://www.harshaash.com/R/Curse-of-Dimensionality,Factor Analysis,Understand why high-dimensional data poses unique challenges for machine learning and statistical analysis.,2022-01-01 18:52:34 +0530
Exploratory Factor Analysis in R,R/EFA,https://www.harshaash.com/R/EFA,Factor Analysis|Preprocessing data,Discover hidden latent variables in your data using exploratory factor analysis (EFA).,2022-01-01 18:52:34 +0530
Handling Missing Data with KNN Imputation,R/KNN_Imputation,https://www.harshaash.com/R/KNN_Imputation,Preprocessing data,Learn how to handle missing values intelligently using K-Nearest Neighbours imputation.,2022-01-02 20:56:45 +0530
Strategies for Imbalanced Classification Problems,R/Handling-Imbalanced-classes,https://www.harshaash.com/R/Handling-Imbalanced-classes,Preprocessing data,Tackle the common challenge of imbalanced datasets where one class significantly outnumbers others.,2022-01-01 22:40:29 +0530
Understanding Part and Partial Correlations,R/part-and-partial-corr,https://www.harshaash.com/R/part-and-partial-corr,Prediction algorithms|Regression Algorithms,This blog explains the difference between part and partial correlations.,2022-01-02 20:56:45 +0530
Interactive Machine Learning Explorer with RShiny,https://harshaachyuthuni.shinyapps.io/Machine_Learning/,https://www.harshaash.com/https://harshaachyuthuni.shinyapps.io/Machine_Learning/,Machine Learning,Experience machine learning interactively through this RShiny web application.,
Understanding Stationarity in Time Series,R/time-series,https://www.harshaash.com/R/time-series,Time Series forecasting,Master the foundational concept of stationarity in time series analysis.,2021-08-22 19:03:02 +0530
Testing for Stationarity in R,R/Stationarity-tests,https://www.harshaash.com/R/Stationarity-tests,Time Series forecasting,Learn how to formally test whether your time series data is stationary using the Augmented Dickey-Fuller (ADF) test.,2021-12-28 14:05:55 +0530
Analysing Seasonal Time Series Patterns in R,R/Seasonal-Time-Series,https://www.harshaash.com/R/Seasonal-Time-Series,Time Series forecasting,Explore techniques for handling seasonal patterns in time series data using R.,2021-12-28 14:05:55 +0530
Modelling Product Adoption with Bass Diffusion,R/adoption_of_new_product,https://www.harshaash.com/R/adoption_of_new_product,Prescriptive Analytics,Forecast new product adoption rates using the Bass Diffusion Model.,2022-01-02 20:56:45 +0530
Network Diffusion and Bass Models in Python,Python/Diffusion on networks,https://www.harshaash.com/Python/Diffusion on networks,Prescriptive Analytics|Networks,"Simulate how ideas, products, and behaviours spread through networks using diffusion models.",2021-09-05 21:11:27 +0530
Decision Making with Analytic Hierarchy Process,Others/AHP,https://www.harshaash.com/Others/AHP,Prescriptive Analytics,Make complex multi-criteria decisions systematically using the Analytic Hierarchy Process (AHP).,2022-01-15 20:48:54 +0530
Hierarchical Clustering for Data Segmentation,R/hierarchical_clustering,https://www.harshaash.com/R/hierarchical_clustering,Clustering,Discover how agglomerative hierarchical clustering builds nested groupings of similar data points.,2022-01-01 18:52:34 +0530
Customer Lifetime Value Prediction in Retail,R/CustomerLifetimeValue,https://www.harshaash.com/R/CustomerLifetimeValue,Reinforcement Learning|Real world Data,Calculate and predict Customer Lifetime Value (CLV) to optimise marketing spend and retention strategies.,2022-01-02 20:56:45 +0530
Fundamentals of Network Science,Python/Network Science,https://www.harshaash.com/Python/Network Science,Networks,Explore the mathematical principles underlying network theory and complex systems.,2021-09-05 21:11:27 +0530
Measuring Influence with Network Centrality,Python/Network centrality,https://www.harshaash.com/Python/Network centrality,Networks,"Identify important nodes in networks using centrality measures like degree, betweenness, closeness, and PageRank.",2021-09-13 21:28:19 +0530
Solving Shortest Path Problems with Integer Programming,Python/Shortest path problems,https://www.harshaash.com/Python/Shortest path problems,Networks,Formulate and solve shortest path problems using integer programming optimisation.,2021-09-05 21:11:27 +0530
Modelling Network Flow Problems in Python,Python/Network Flow problems,https://www.harshaash.com/Python/Network Flow problems,Networks,Master network flow optimisation for applications like supply chain logistics and resource allocation.,2021-09-05 21:11:27 +0530
Choosing the Right Part-Time Data Science Masters,Others/part time data science masters,https://www.harshaash.com/Others/part time data science masters,Higher education review,Navigate the landscape of part-time data science masters programmes with this comprehensive comparison guide.,2022-01-15 20:48:54 +0530
Blogs on Imperial College London websites,Others/Imperial College London,https://www.harshaash.com/Others/Imperial College London,External blogs,Personal insights and experiences from studying at Imperial College London.,2021-10-08 21:25:28 +0530
Inside IIM Bangalore's Business Analytics Programme,Others/IIMB BAI,https://www.harshaash.com/Others/IIMB BAI,Higher education review,A comprehensive first-hand review of IIMB's part-time Business Analytics and Intelligence executive programme.,2022-01-15 20:48:54 +0530
Publications and Conference Presentations,Others/Publications,https://www.harshaash.com/Others/Publications,External blogs,"A curated list of academic publications, conference presentations, and research contributions.",2021-10-08 21:25:28 +0530
Deployed Data Science Applications,Others/Deployed apps,https://www.harshaash.com/Others/Deployed apps,External blogs,Explore live demonstrations of data science applications and interactive tools.,2021-10-17 14:09:51 +0530
Predictive Maintenance for Industrial Equipment,Others/preventive_maintainence,https://www.harshaash.com/Others/preventive_maintainence,Projects,Building predictive maintenance systems that forecast equipment failures before they occur.,2024-01-24 14:55:07 +0530
Contract Intelligence and Analysis Tool,Others/Contract Intelligence tool,https://www.harshaash.com/Others/Contract Intelligence tool,Projects,Developing an AI-powered contract intelligence system that extracts key terms and identifies risks.,2025-06-03 14:49:09 +0530
Competitor Intelligence Pipeline,Others/competitor intelligence,https://www.harshaash.com/Others/competitor intelligence,Projects,Building an automated competitive intelligence system that monitors competitor activities.,2024-09-08 15:53:04 +0530
Intelligent Document Annotation System (Scarecrow),Others/Scarecrow,https://www.harshaash.com/Others/Scarecrow,Projects,Creating an intelligent annotation tool that accelerates machine learning dataset creation.,2021-12-29 16:14:21 +0530
Demand Forecasting for Inventory Planning,Others/Demand Forecasting,https://www.harshaash.com/Others/Demand Forecasting,Projects,Implementing demand forecasting models that predict product sales and optimise inventory levels.,2025-06-03 14:49:09 +0530
Optimal Bid Allocation System,Others/bid allocation model,https://www.harshaash.com/Others/bid allocation model,Projects,Designing a bid allocation optimisation system for auctions and procurement.,2021-12-29 16:14:21 +0530
Reward and Recognition Programme Analytics,Others/IIMB project,https://www.harshaash.com/Others/IIMB project,Projects,Analysing employee reward and recognition programmes to maximise engagement and retention.,2021-12-29 16:14:21 +0530
Supply Chain Analytics and Optimisation,Others/supply chain analytics,https://www.harshaash.com/Others/supply chain analytics,Projects,"Developing comprehensive supply chain analytics that optimise logistics, inventory, and distribution networks.",2021-12-29 16:14:21 +0530
